type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
NMSH;318042;Mittelschule;1779406.31,6073285.96;Schulgasse 12;2733;Grünbach am Schneeberg;öffentl.;8;143;69;74
SS;318043;Allgemeine Sonderschule;1785675.91,6059861.27;Stapfgasse 1;2630;Ternitz;öffentl.;4;26;18;8
VS;318051;Volksschule;1773775.57,6052857.85;Richtergasse 6;2640;Gloggnitz;öffentl.;11;194;91;103
VS;318061;Volksschule;1782781.44,6054863.88;Schulstraße 13;2632;Grafenbach-St. Valentin;öffentl.;7;110;62;48
NMSH;318062;Mittelschule;1790720.14,6060582.81;Augasse 7;2620;Neunkirchen;öffentl.;9;180;105;75
SS;318063;Allgemeine Sonderschule;1801871.38,6060094.24;Auf der Schmelz 62;2823;Pitten;öffentl.;4;20;12;8
VS;318071;Volksschule;1795101.9,6043402.48;Schulgasse 1;2840;Grimmenstein;öffentl.;3;56;30;26
NMSH;318072;Mittelschule;1790716.93,6060575.68;Schoellerstraße 7;2620;Neunkirchen;öffentl.;10;238;101;137
VS;318081;Volksschule;1779406.31,6073285.96;Schulgasse 12;2733;Grünbach am Schneeberg;öffentl.;4;80;45;35
NMSH;318082;Mittelschule OST Payerbach;1766444.62,6056112.81;Schulgasse 11b;2650;Payerbach;öffentl.;4;70;37;33
NMSH;318092;Mittelschule;1801871.38,6060094.24;Auf der Schmelz 62;2823;Pitten;öffentl.;4;77;48;29
NMSH;318102;Mittelschule;1782262.03,6057273.76;F.Samwald-Straße 25;2630;Ternitz;öffentl.;4;73;34;39
NMSH;318112;Mittelschule;1771558.93,6071280.73;Burggasse 13;2734;Puchberg am Schneeberg;öffentl.;4;78;38;40
VS;318121;Volksschule Höflein;1785012.93,6072862.28;Ortsstraße 2;2732;Höflein an der Höhen Wand;öffentl.;4;66;37;29
NMSH;318122;Mittelschule;1761325.57,6057057.61;Herzog Otto-Straße 7;2651;Reichenau an der Rax;öffentl.;5;66;31;35
