type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female;lt_type;lt_skz;lt_desc;lt_ipub_desc;lt_street;lt_zip;lt_city;count
VS;621221;Volksschule;1702033.86,6014588.36;Wiener Straße 23;8605;Kapfenberg;öffentl.;3;47;28;19;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621221;Volksschule;1702033.86,6014588.36;Wiener Straße 23;8605;Kapfenberg;öffentl.;3;47;28;19;NMSH;621052;Mittelschule;Sonderschulen;Schinitzgasse 15;8605;Kapfenberg;0
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;15
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;NMSH;621062;Mittelschule (Dr. Theodor Körner);Neue Mittelschule an Hauptschulen;Schirmitzbühel, Lannergasse 1;8605;Kapfenberg;14
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;NMSH;621052;Mittelschule;Neue Mittelschule an Hauptschulen;Schinitzgasse 15;8605;Kapfenberg;8
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;0
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;VS;621231;Dr.-H.-C. Franz Jonas Volksschule;Wiederholung der Schulstufe im gleichen Schultyp;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;0
VS;621231;Dr.-H.-C. Franz Jonas Volksschule;1704072.61,6015333.37;Walfersam, Karl H. Waggerl-Weg 4;8605;Kapfenberg;öffentl.;10;182;87;95;NMSH;621052;Mittelschule;Sonderschulen;Schinitzgasse 15;8605;Kapfenberg;0
VS;621241;Volksschule;1724685.61,6019129.19;Stanz im Mürztal 117;8653;Stanz im Mürztal;öffentl.;4;67;29;38;NMSH;621012;Mittelschule (August Musger);Neue Mittelschule an Hauptschulen;August-Musger-Gasse 10;8650;Kindberg;17
VS;621241;Volksschule;1724685.61,6019129.19;Stanz im Mürztal 117;8653;Stanz im Mürztal;öffentl.;4;67;29;38;AHS;621026;Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;AHS-Unterstufe;Wiener Straße 123;8605;Kapfenberg;0
VS;621251;Volksschule;1705099.45,6068985.12;Morzingasse 5;8630;Mariazell;öffentl.;6;118;53;65;NMSH;621072;Mittelschule;Neue Mittelschule an Hauptschulen;Hans Laufensteinweg 1;8630;Mariazell;26
VS;621251;Volksschule;1705099.45,6068985.12;Morzingasse 5;8630;Mariazell;öffentl.;6;118;53;65;NMSH;314032;Mittelschule und Ski-Mittelschule;Neue Mittelschule an Hauptschulen;Castellistraße 8;3180;Lilienfeld;0
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;AHS;621016;Bundesgymnasium und Bundesrealgymnasium;AHS-Unterstufe;Keplerstraße 2;8600;Bruck an der Mur;17
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;NMSH;621022;Mittelschule;Neue Mittelschule an Hauptschulen;Kirchplatz 4;8600;Bruck an der Mur;8
VS;621271;Volksschule;1693182.27,6007907.43;Oberaich, Utschtal 52;8600;Bruck an der Mur;öffentl.;8;129;70;59;NMSH;621092;Mittelschule;Neue Mittelschule an Hauptschulen;Niederdorf 85;8611;Tragöß-Sankt Katharein;0
